count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,attack_types
2,2,0,0,0,0,1,0,0,r2l
258,17,1,1,0,0,0.07,0.05,0,dos
10,10,0,0,0,0,1,0,0,normal
61,4,0,0,1,1,0.07,0.1,0,dos
2,2,0,0,0,0,1,0,0,dos
26,42,0,0,0,0,1,0,0.05,normal
120,120,0,0,0,0,1,0,0,normal
73,75,0,0,0,0,1,0,0.03,normal
1,15,0,0,0,0,1,0,1,probe
135,9,1,1,0,0,0.07,0.06,0,dos
24,12,1,1,0,0,0.5,0.08,0,dos
148,228,0,0,0,0,1,0,0.01,normal
2,2,0,0,0,0,1,0,0,normal
206,4,0,0,1,1,0.02,0.06,0,dos
175,1,0.1,0,0.89,1,0.01,1,0,probe
4,4,0,0,0,0,1,0,0,normal
63,10,0,0,1,1,0.16,0.08,0,dos
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,probe
52,19,1,1,0,0,0.37,0.08,0,dos
125,7,0,0,1,1,0.06,0.06,0,dos
168,21,1,1,0,0,0.12,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
145,16,1,1,0,0,0.11,0.06,0,dos
3,2,0,0,0,0,0.67,0.67,0,normal
9,14,0,0,0,0,1,0,0.21,normal
138,6,1,1,0,0,0.04,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
276,9,1,1,0,0,0.03,0.06,0,dos
10,27,0,0,0,0,1,0,0.11,normal
10,10,0,0,0,0,1,0,0,normal
248,8,0,0,1,1,0.03,0.06,0,dos
2,31,0,0,0,0,1,0,0.1,normal
135,7,0,0,1,1,0.05,0.07,0,dos
220,19,1,1,0,0,0.09,0.05,0,dos
1,44,0,0,0,0,1,0,1,probe
9,9,0,0,0,0,1,0,0,normal
212,7,1,1,0,0,0.03,0.05,0,dos
10,10,0,0,0,0,1,0,0,normal
250,13,1,1,0,0,0.05,0.06,0,dos
132,15,0,0,1,1,0.11,0.05,0,dos
3,2,0,0,0,0,0.67,0.67,0,normal
11,11,0,0,0,0,1,0,0,normal
3,9,0,0,0,0,1,0,0.33,normal
109,189,0,0,0,0,0.99,0.02,0.01,normal
146,18,0,0,1,1,0.12,0.05,0,dos
300,6,1,1,0,0,0.02,0.06,0,dos
1,2,0,0,0,0,1,0,1,normal
1,1,0,0,0,0,1,0,0,normal
4,5,0,0,0,0,1,0,0.4,normal
2,2,0,0,0,0,1,0,0,normal
129,16,1,1,0,0,0.12,0.05,0,dos
32,32,0.03,0.03,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
1,2,0,0,1,1,1,0,1,normal
3,3,0,0,0,0,1,0,0,normal
82,82,0,0,0,0,1,0,0,dos
1,1,0,0,0,0,1,0,0,normal
15,15,0,0,0,0,1,0,0,normal
2,3,0,0,0,0,1,0,0.67,normal
21,21,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,normal
3,7,0,0,0,0,1,0,0.29,normal
2,2,0,0,0,0,0.5,1,1,normal
1,1,0,0,1,1,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
4,5,0,0,0,0,1,0,0.4,normal
2,2,0,0,1,1,1,0,0,probe
110,17,0,0,1,1,0.15,0.05,0,dos
4,1,0,0,0,0,0.25,0.5,0,normal
6,6,0,0,0,0,1,0,0,normal
7,7,0,0,0,0,1,0,0,normal
246,20,0,0,1,1,0.08,0.07,0,dos
272,19,0,0,1,1,0.07,0.07,0,dos
259,8,1,1,0,0,0.03,0.07,0,dos
9,10,0,0,0,0.1,1,0,0.2,normal
294,6,1,1,0,0,0.02,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
96,178,0,0,0,0,1,0,0.02,normal
1,1,0,0,0,0,1,0,0,normal
79,159,0,0,0,0,1,0,0.01,normal
1,1,0,0,0,0,1,0,0,normal
190,20,1,1,0,0,0.11,0.06,0,dos
135,5,0,0,1,1,0.04,0.06,0,dos
2,2,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
123,7,1,1,0,0,0.06,0.06,0,dos
245,20,1,1,0,0,0.08,0.06,0,dos
3,1,0,0,0,0,0.33,0.67,0,normal
3,4,0,0,0,0,1,0,0.5,normal
263,263,0,0,0,0,1,0,0,dos
109,13,1,1,0,0,0.12,0.06,0,dos
9,9,0,0,0,0,1,0,0,normal
145,8,0,0,1,1,0.06,0.08,0,dos
250,2,0,0,1,1,0.01,0.07,0,dos
8,8,0,0,0,0,1,0,0,normal
2,3,0,0,0,0,1,0,0.67,normal
2,2,0,0,0,0,1,0,0,normal
1,1,1,1,0,0,1,0,0,probe
3,3,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,r2l
13,4,1,1,0,0,0.31,0.31,0,dos
87,1,1,1,0,0,0.01,0.07,0,dos
2,2,0,0,0,0,1,0,0,normal
292,13,1,1,0,0,0.04,0.05,0,dos
295,18,1,1,0,0,0.06,0.05,0,dos
143,15,1,1,0,0,0.1,0.06,0,dos
278,277,0,0,0,0,1,0.01,0,normal
1,1,0,0,0,0,1,0,0,normal
102,19,1,1,0,0,0.19,0.06,0,dos
1,46,0,0,0,0,1,0,1,probe
251,3,1,1,0,0,0.01,0.07,0,dos
4,4,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
222,302,0,0,0,0,1,0,0.01,normal
2,2,0,0,0,0,1,0,0,normal
260,4,1,1,0,0,0.02,0.06,0,dos
2,2,0,0,1,1,1,0,0,probe
1,1,0,0,0,0,1,0,0,normal
1,6,0,0,0,0,1,0,0.67,normal
3,2,0,0,0,0,0.67,0.67,0,normal
11,12,0,0,0,0,1,0,0.17,normal
44,12,1,1,0,0,0.27,0.11,0,dos
2,7,0,0,0,0,1,0,0.57,normal
511,511,0,0,0,0,1,0,0,dos
272,15,0,0,1,1,0.06,0.06,0,dos
122,19,0.99,1,0,0,0.16,0.07,0,dos
287,3,1,1,0,0,0.01,0.05,0,dos
1,3,0,0,1,1,1,0,1,normal
486,1,0.08,0,0.89,1,0,0.95,0,probe
22,6,0,0,0,0,0.27,0.09,0,probe
286,9,1,1,0,0,0.03,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
1,2,0,0,0,0,1,0,1,normal
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
35,34,0,0,0.03,0,0.97,0.06,0,dos
28,2,1,1,0,0,0.07,0.14,0,dos
108,18,1,1,0,0,0.17,0.07,0,dos
101,5,1,1,0,0,0.05,0.06,0,dos
1,2,0,0,0,0,1,0,1,normal
12,21,0,0,0,0,1,0,0.14,normal
1,2,0,0,0,0,1,0,1,r2l
10,10,0,0,0,0,1,0,0,normal
223,10,1,1,0,0,0.04,0.07,0,dos
223,17,1,1,0,0,0.08,0.06,0,dos
19,34,0,0,0,0,1,0,0.06,normal
4,7,0,0,0,0,1,0,0.29,normal
1,1,0,0,0,0,1,0,0,normal
5,6,0,0,0,0,1,0,0.33,normal
406,1,0,0,1,1,0,0.52,0,probe
4,5,0,0,0,0,1,0,0.4,normal
6,6,0,0,0,0,1,0,0,normal
143,14,1,1,0,0,0.1,0.06,0,dos
17,17,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
2,1,0,0,0,0,0.5,1,0,normal
201,18,1,1,0,0,0.09,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
4,5,0,0,0,0.2,1,0,0.4,normal
124,19,1,1,0,0,0.15,0.05,0,dos
162,1,0.05,0,0.94,1,0.01,1,0,probe
2,4,0,0,0,0,1,0,0.5,dos
277,17,1,1,0,0,0.06,0.05,0,dos
4,4,0,0,0,0,1,0,0,normal
274,22,1,1,0,0,0.08,0.05,0,dos
141,12,1,1,0,0,0.09,0.06,0,dos
3,3,0,0,0,0,1,0,0,normal
8,23,0,0,0,0,1,0,0.13,normal
1,1,0,0,0,0,1,0,0,normal
1,3,0,0,0,0,1,0,1,normal
10,11,0.1,0.09,0,0,1,0,0.18,normal
103,3,1,1,0,0,0.03,0.07,0,dos
1,1,0,0,0,0,1,0,0,r2l
246,20,1,1,0,0,0.08,0.06,0,dos
1,50,0,0,0,0,1,0,1,probe
7,7,0,0,0,0,1,0,0,normal
32,34,0,0,0,0,1,0,0.09,normal
125,24,1,1,0,0,0.19,0.05,0,dos
8,8,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
1,3,0,0,0,0,1,0,1,normal
6,6,0,0,0,0,1,0,0,normal
9,2,0,0,0,0,0.22,0.22,0,normal
4,4,0,0,0,0,1,0,0,dos
171,173,0,0,0,0,1,0,0.01,normal
250,3,0,0,1,1,0.01,0.06,0,dos
238,7,1,1,0,0,0.03,0.07,0,dos
102,2,1,1,0,0,0.02,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
2,10,0.5,0.1,0,0.1,1,0,0.4,normal
1,1,0,0,0,0,1,0,0,probe
281,2,1,1,0,0,0.01,0.06,0,dos
30,2,1,1,0,0,0.07,0.13,0,dos
276,8,1,1,0,0,0.03,0.06,0,dos
5,5,0,0,0,0,1,0,0,normal
163,9,1,1,0,0,0.06,0.09,0,dos
1,21,0,0,0,0,1,0,1,probe
301,20,1,1,0,0,0.07,0.06,0,dos
28,28,0,0,0,0,1,0,0,normal
1,23,0,0,0,0,1,0,1,probe
1,1,0,0,0,0,1,0,0,normal
16,16,0,0,0,0,1,0,0,normal
2,2,0,0,1,1,1,0,0,probe
1,1,1,1,0,0,1,0,0,probe
46,46,0,0,0,0,1,0,0,dos
1,2,0,0,0,0,1,0,1,normal
39,39,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,probe
6,6,0,0,0,0,1,0,0,normal
211,22,1,1,0,0,0.1,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
12,12,0,0,0,0,1,0,0,normal
280,11,0,0,1,1,0.04,0.06,0,dos
1,4,0,0,0,0.25,1,0,0.75,normal
17,35,0,0,0,0,1,0,0.06,normal
6,6,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
1,44,0,0,0,0,1,0,1,probe
201,1,1,1,0,0,0,0.06,0,dos
3,3,0,0,0,0,1,0,0,normal
276,14,0,0,1,1,0.05,0.06,0,dos
1,1,0,0,1,1,1,0,0,normal
145,225,0,0,0,0,1,0,0.01,normal
1,1,0,0,0,0,1,0,0,normal
8,8,0,0,0,0,1,0,0,normal
258,10,1,1,0,0,0.04,0.05,0,dos
256,12,1,1,0,0,0.05,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
12,12,0,0,0,0,1,0,0,normal
26,44,0,0,0,0,1,0,0.07,normal
14,6,1,1,0,0,0.43,0.29,0,dos
2,2,0,0,0,0,1,0,0,normal
30,31,0,0,0,0,1,0,0.06,normal
138,25,1,1,0,0,0.18,0.05,0,dos
4,6,0,0,0,0,1,0,0.5,normal
300,7,1,1,0,0,0.02,0.06,0,dos
199,9,1,1,0,0,0.05,0.07,0,dos
15,15,0,0,0,0,1,0,0,normal
2,2,0,0,1,1,1,0,0,probe
1,1,0,0,1,1,1,0,0,normal
144,15,1,1,0,0,0.1,0.06,0,dos
104,4,1,1,0,0,0.04,0.07,0,dos
18,18,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
7,11,0,0,0,0,1,0,0.27,normal
7,7,0,0,0,0,1,0,0,normal
1,25,0,0,0,0,1,0,1,probe
3,1,0,0,0,0,0.33,0.67,0,normal
74,16,1,1,0,0,0.22,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
225,2,0,0,1,1,0.01,0.07,0,dos
66,16,0.97,1,0.03,0,0.24,0.09,0,dos
1,7,0,0.14,0,0,1,0,0.29,r2l
7,7,0,0,0,0,1,0,0,normal
1,35,0,0,0,0,1,0,1,probe
2,2,0.5,0.5,0,0,1,0,0,normal
4,4,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,probe
1,1,0,0,0,0,1,0,0,normal
139,13,1,1,0,0,0.09,0.06,0,dos
28,60,0.04,0.03,0,0,1,0,0.08,normal
144,16,0,0,1,1,0.11,0.06,0,dos
241,19,1,1,0,0,0.08,0.05,0,dos
15,19,0,0,0,0,1,0,0.11,normal
213,213,0,0,0,0,1,0,0,dos
1,45,0,0,0,0,1,0,1,probe
36,1,0.17,0,0.83,1,0.03,1,0,probe
3,2,0,0,0,0,0.67,0.67,0,normal
254,17,1,1,0,0,0.07,0.05,0,dos
1,2,0,0,0,0,1,0,1,normal
295,7,1,1,0,0,0.02,0.05,0,dos
171,3,1,1,0,0,0.02,0.07,0,dos
179,2,1,1,0,0,0.01,0.06,0,dos
2,1,0,0,0,0,0.5,1,0,normal
101,7,1,1,0,0,0.07,0.06,0,dos
9,9,0,0,0,0,1,0,0,normal
22,22,0,0,0,0,1,0,0,normal
1,2,0,0,0,0,1,0,1,normal
8,8,0,0,0,0,1,0,0,normal
2,1,0,0,1,1,0.5,1,0,probe
1,1,0,0,1,1,1,0,0,probe
195,197,0,0,0,0,1,0,0.01,normal
4,9,0,0,0,0,1,0,0.56,normal
260,9,1,1,0,0,0.03,0.07,0,dos
14,14,0,0,0,0,1,0,0,normal
1,3,0,0,0,0,1,0,1,normal
10,10,0,0,0,0,1,0,0,normal
125,13,1,1,0,0,0.1,0.06,0,dos
139,10,0,0,1,1,0.07,0.06,0,dos
10,11,0,0,0,0,1,0,0.18,normal
251,7,1,1,0,0,0.03,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
5,5,0,0,0,0,1,0,0,normal
211,17,1,1,0,0,0.08,0.07,0,dos
20,8,0,0,0,0,0.4,0.1,0,normal
208,2,1,1,0,0,0.01,0.07,0,dos
1,1,0,0,1,1,1,0,0,normal
268,19,1,1,0,0,0.07,0.06,0,dos
1,1,0,0,1,1,1,0,0,probe
2,1,0,0,1,1,0.5,1,0,probe
1,19,0,0,0,0,1,0,0.16,normal
286,3,1,1,0,0,0.01,0.05,0,dos
7,7,0,0,0,0,1,0,0,normal
425,1,0.08,0,0.91,1,0,1,0,probe
8,9,0,0,0,0,1,0,0.22,normal
272,30,1,0.43,0,0,0.05,0.06,0.1,dos
4,8,0,0,0,0,1,0,0.25,normal
241,3,0,0,1,1,0.01,0.07,0,dos
2,2,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
18,18,0,0,0,0,1,0,0,normal
125,19,1,1,0,0,0.15,0.06,0,dos
1,1,0,0,1,1,1,0,0,normal
6,6,0,0,0,0,1,0,0,normal
1,18,0,0,0,0,1,0,1,probe
1,1,0,0,0,0,1,0,0,dos
3,3,0,0,0,0,1,0,0,normal
42,10,1,1,0,0,0.24,0.1,0,dos
274,10,1,1,0,0,0.04,0.06,0,dos
3,3,0,0,0,0,1,0,0,normal
7,9,0,0,0,0,1,0,0.33,normal
1,1,0,0,0,0,1,0,0,normal
196,12,1,1,0,0,0.06,0.07,0,dos
5,5,0,0,0,0,1,0,0,normal
111,6,1,1,0,0,0.05,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
1,8,0,0,0,0,1,0,0.88,normal
2,4,0,0,0,0,1,0,0.75,normal
168,3,1,1,0,0,0.02,0.08,0,dos
122,188,0,0,0,0,1,0,0.01,normal
108,8,1,1,0,0,0.07,0.06,0,dos
1,1,0,0,1,1,1,0,0,normal
36,12,1,1,0,0,0.33,0.14,0,dos
143,19,1,1,0,0,0.13,0.06,0,dos
1,21,0,0,0,0,1,0,0.1,normal
132,8,1,1,0,0,0.06,0.05,0,dos
139,139,0,0,0,0,1,0,0,normal
7,7,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
8,8,0,0,0,0,1,0,0,normal
3,1,0,0,0,0,0.33,1,0,normal
222,1,1,1,0,0,0,0.06,0,dos
260,8,1,1,0,0,0.03,0.05,0,dos
237,15,1,1,0,0,0.06,0.07,0,dos
132,15,1,1,0,0,0.11,0.06,0,dos
2,2,0,0,1,1,1,0,0,probe
57,11,1,1,0,0,0.19,0.11,0,dos
1,1,0,0,0,0,1,0,0,probe
1,1,0,0,0,0,1,0,0,normal
13,26,0,0,0,0,1,0,0.08,normal
257,19,1,1,0,0,0.07,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
77,157,0,0,0,0,1,0,0.01,normal
1,27,0,0,0,0,1,0,1,probe
1,1,0,0,0,0,1,0,0,normal
2,12,0,0,0,0,1,0,0.33,normal
11,20,0,0,0,0,1,0,0.15,normal
257,19,1,1,0,0,0.07,0.05,0,dos
13,13,1,1,0,0,1,0,0,dos
9,9,0,0,0,0,1,0,0,normal
137,9,0,0,1,1,0.07,0.06,0,dos
28,28,0,0,0,0,1,0,0,normal
12,25,0,0.04,0,0,1,0,0.08,normal
132,3,1,1,0,0,0.02,0.06,0,dos
7,1,0,0,0,0,0.14,0.29,0,normal
1,1,0,0,1,1,1,0,0,normal
290,16,1,1,0,0,0.06,0.06,0,dos
203,2,1,1,0,0,0.01,0.06,0,dos
290,8,1,1,0,0,0.03,0.06,0,dos
14,16,0,0,0,0,1,0,0.12,normal
116,3,0,0,1,1,0.03,0.07,0,dos
260,6,1,1,0,0,0.02,0.07,0,dos
12,1,0,0,0,0,0.08,0.17,0,probe
21,21,0,0,0,0,1,0,0,dos
2,2,0,0,0,0,1,0,0,normal
486,486,0,0,0,0,1,0,0,dos
2,3,0,0,0,0,1,0,0.67,normal
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,probe
1,1,0,0,0,0,1,0,0,normal
457,457,0,0,0,0,1,0,0,dos
47,4,1,1,0,0,0.09,0.09,0,dos
10,18,0,0,0,0,1,0,0.17,normal
71,151,0,0,0,0,1,0,0.01,normal
12,12,0,0,0,0,1,0,0,normal
6,6,0,0,0,0,1,0,0,normal
6,6,0,0,0,0,1,0,0,normal
5,13,0,0,0,0,1,0,0.15,normal
7,7,0,0,0,0,1,0,0,normal
139,10,0,0,1,1,0.07,0.06,0,dos
1,17,0,0,0,0,1,0,0.29,normal
200,6,1,1,0,0,0.03,0.08,0,dos
140,1,1,1,0,0,0.01,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
9,9,0,0,0,0,1,0,0,normal
511,511,0,0,0,0,1,0,0,dos
68,68,0,0,0,0,1,0,0,dos
132,7,1,1,0,0,0.05,0.06,0,dos
9,9,0,0,0,0,1,0,0,normal
215,215,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
115,18,1,1,0,0,0.16,0.04,0,dos
35,16,1,1,0,0,0.46,0.11,0,dos
275,15,1,1,0,0,0.05,0.06,0,dos
4,4,0,0,0,0,1,0,0,normal
76,13,0,0,1,1,0.17,0.08,0,dos
12,12,0,0,0,0,1,0,0,normal
202,2,1,1,0,0,0.01,0.06,0,dos
252,14,1,1,0,0,0.06,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
3,3,0,0,0,0,1,0,0,normal
74,17,1,1,0,0,0.23,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
4,4,0,0,0,0,1,0,0,normal
116,19,1,1,0,0,0.16,0.06,0,dos
2,2,0,0,0,0,1,0,0,dos
197,2,1,1,0,0,0.01,0.07,0,dos
80,160,0,0,0,0,1,0,0.01,normal
1,1,0,0,0,0,1,0,0,normal
198,4,1,1,0,0,0.02,0.08,0,dos
4,4,0,0,0,0,1,0,0,normal
102,3,0,0,1,1,0.03,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
223,21,1,1,0,0,0.09,0.05,0,dos
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
138,6,1,1,0,0,0.04,0.06,0,dos
1,28,0,0,0,0,1,0,1,probe
5,5,0,0,0,0,1,0,0,normal
154,1,0,0,1,1,0.01,0.07,0,dos
204,18,1,1,0,0,0.09,0.06,0,dos
262,4,1,1,0,0,0.02,0.06,0,dos
8,8,0,0,0,0,1,0,0,normal
25,2,0,0,1,1,0.08,0.52,0,probe
3,3,0,0,0,0,1,0,0,normal
21,21,0,0,0,0,1,0,0,normal
459,5,0.07,0,0.9,1,0.01,0.99,0,probe
253,1,1,1,0,0,0,0.07,0,dos
1,1,0,0,0,0,1,0,0,normal
142,15,1,1,0,0,0.11,0.06,0,dos
1,3,0,0,0,0,1,0,1,normal
1,1,0,0,0,0,1,0,0,normal
12,1,0,0,0,0,0.08,0.25,0,normal
5,9,0,0,0,0,1,0,0.22,normal
139,20,1,1,0,0,0.14,0.06,0,dos
1,1,0,0,1,1,1,0,0,normal
1,2,0,0,0,0,1,0,1,normal
9,9,0,0,0,0,1,0,0,normal
12,12,0,0,0,0,1,0,0,normal
5,5,0,0,0,0,1,0,0,normal
1,2,0,0,0,0,1,0,1,normal
196,9,1,1,0,0,0.05,0.06,0,dos
3,3,0,0,0,0,1,0,0,normal
4,84,0,0,0,0,1,0,0.02,normal
3,1,0,0,0,0,0.33,0.67,0,normal
1,1,0,0,0,0,1,0,0,r2l
1,7,0,0,0,0,1,0,1,probe
167,167,0,0,0,0,1,0,0,normal
2,1,0,0,0.5,1,0.5,1,0,probe
1,2,0,0,0,0,1,0,1,normal
1,1,0,0,0,0,1,0,0,normal
3,3,0,0,0,0,1,0,0,normal
13,13,0,0,0,0,1,0,0,normal
10,14,0,0,0,0,1,0,0.29,normal
2,1,0,0,0,0,0.5,1,0,normal
262,7,1,1,0,0,0.03,0.06,0,dos
103,17,1,1,0,0,0.17,0.06,0,dos
14,14,0,0,0,0,1,0,0,normal
43,43,0,0,0,0,1,0,0,normal
221,16,1,1,0,0,0.07,0.06,0,dos
5,26,0,0,0,0,1,0,0.23,normal
33,14,1,1,0,0,0.42,0.06,0,dos
3,9,0,0,0,0,1,0,0.56,normal
224,300,0,0,0,0,1,0,0.01,normal
1,1,0,0,0,0,1,0,0,normal
221,14,1,1,0,0,0.06,0.05,0,dos
4,2,0,0,0,0,0.5,0.5,0,normal
1,1,0,0,1,1,1,0,0,probe
284,14,0,0,1,1,0.05,0.06,0,dos
2,2,0,0,0,0,1,0,0,probe
150,16,1,1,0,0,0.11,0.05,0,dos
255,9,1,1,0,0,0.04,0.06,0,dos
5,2,0,0,0,0,0.4,0.6,0,normal
26,2,1,1,0,0,0.08,0.15,0,dos
2,2,0,0,1,1,1,0,0,normal
74,20,1,1,0,0,0.27,0.05,0,dos
2,1,0,0,0,0,0.5,1,0,normal
7,9,1,0.78,0,0,1,0,0.33,dos
2,2,0,0,0,0,1,0,0,normal
235,4,1,1,0,0,0.02,0.07,0,dos
131,20,1,1,0,0,0.15,0.05,0,dos
100,166,0,0,0,0,1,0,0.01,normal
1,1,0,0,0,0,1,0,0,normal
11,11,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
8,8,0,0,0,0,1,0,0,normal
124,2,1,1,0,0,0.02,0.07,0,dos
263,264,0,0,0,0,1,0.01,0.01,normal
34,15,1,1,0,0,0.44,0.06,0,dos
1,1,0,0,0,0,1,0,0,r2l
1,15,0,0,0,0,1,0,1,probe
16,23,0,0,0,0,1,0,0.13,normal
16,3,1,1,0,0,0.19,0.25,0,dos
1,2,0,0,1,1,1,0,1,normal
151,151,0,0,0,0,1,0,0,normal
1,1,0,0,1,1,1,0,0,probe
115,7,1,1,0,0,0.06,0.06,0,dos
130,10,0,0,1,1,0.08,0.06,0,dos
236,15,1,1,0,0,0.06,0.07,0,dos
3,5,0,0,0,0,0.33,0.67,0.4,normal
280,16,0,0,1,1,0.06,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
7,9,0,0,0,0,1,0,0.33,normal
268,2,1,1,0,0,0.01,0.07,0,dos
84,18,1,1,0,0,0.21,0.06,0,dos
24,24,0,0,0,0,1,0,0,normal
139,139,0,0,0,0,1,0,0,dos
211,6,1,1,0,0,0.03,0.06,0,dos
9,9,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,probe
100,2,1,1,0,0,0.02,0.06,0,dos
101,13,1,1,0,0,0.13,0.05,0,dos
265,4,1,1,0,0,0.02,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
210,210,0,0,0,0,1,0,0,normal
54,17,1,1,0,0,0.31,0.07,0,dos
16,24,0,0,0,0,1,0,0.08,normal
43,43,0,0,0,0,1,0,0,normal
23,36,0,0,0,0,1,0,0.08,normal
1,1,0,0,0,0,1,0,0,r2l
248,20,0,0,1,1,0.08,0.06,0,dos
127,127,0,0,0,0,1,0,0,normal
1,1,0,0,0,0,1,0,0,normal
13,1,0,0,0,0,0.08,0.31,0,normal
1,39,0,0,0,0,1,0,1,probe
2,6,0,0,0,0,1,0,0.33,normal
13,13,0,0,0,0,1,0,0,normal
251,12,1,1,0,0,0.05,0.06,0,dos
11,15,0,0,0,0,1,0,0.2,normal
2,2,0,0,1,1,1,0,0,probe
222,18,1,1,0,0,0.08,0.05,0,dos
2,2,0,0,0,0,0.5,1,1,normal
4,4,0,0,0,0,1,0,0,normal
228,4,1,1,0,0,0.02,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
129,22,1,1,0,0,0.17,0.05,0,dos
255,255,0,0,0,0,1,0.01,0.01,normal
118,9,1,1,0,0,0.08,0.08,0,dos
84,16,1,1,0,0,0.19,0.06,0,dos
