dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_types
255,2,0.01,0.69,1,0,0,0,1,1,1
255,17,0.07,0.07,0,0,0,0,1,1,1
255,239,0.94,0.01,0,0,0,0,0,0,0
6,255,1,0,0.17,0.02,0,0.01,0,0,0
107,255,1,0,0.01,0.01,0,0,0,0,0
255,20,0.08,0.07,0,0,0,0,1,1,1
255,19,0.07,0.08,0,0,0,0,1,1,1
255,8,0.03,0.08,0,0,1,1,0,0,1
255,250,0.98,0.01,0,0,0,0,0,0,0
255,8,0.03,0.07,0,0,1,1,0,0,1
195,10,0.03,0.03,0.01,0.2,0.01,0,0.01,0,0
255,254,1,0.01,0.01,0,0,0,0,0,0
138,167,0.57,0.03,0.01,0.01,0,0,0,0,0
255,254,1,0.01,0,0,0,0,0,0,0
176,49,0.28,0.02,0.01,0,0.01,0.02,0,0,0
255,20,0.08,0.08,0,0,1,1,0,0,1
255,1,0,0.07,0,0,0,0,1,1,1
2,2,1,0,0.5,0,0,0,0,0,0
5,255,1,0,0.2,0.02,0,0,0,0,0
255,7,0.03,0.08,0,0,1,1,0,0,1
255,7,0.03,0.07,0,0,1,1,0,0,1
255,1,0,0.61,0.97,0,0,0,0,0,0
94,255,1,0,0.02,0.01,0,0,0,0,0
255,255,1,0,1,0,0,0,0,0,1
255,7,0.03,0.06,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,8,0.03,0.09,0,0,0,0,1,1,1
255,2,0.01,0.07,0,0,0,0,1,1,1
108,255,1,0,0.01,0.01,0,0,0,0,0
50,82,1,0,0.02,0.04,0,0,0,0,0
11,255,1,0,0.09,0.07,0,0,0,0,0
255,1,0,1,1,0,1,1,0,0,1
31,129,1,0,0.03,0.02,0,0,0,0,0
6,26,1,0,1,0.19,0,0,0,0,1
255,64,0.25,0.02,0.01,0,1,1,0,0,1
255,1,0,0.06,0,0,1,1,0,0,1
27,255,1,0,0.04,0.05,0,0.01,0,0,0
255,14,0.05,0.08,0,0,1,1,0,0,1
255,1,0,0.08,0,0,1,1,0,0,1
255,15,0.06,0.05,0,0,1,1,0,0,1
255,254,1,0.01,0,0,0,0,0,0,0
6,92,0.83,0.33,0.83,0.03,0,0,0,0,0
255,18,0.07,0.06,0,0,1,1,0,0,1
1,15,1,0,1,0.53,0,0,0,0,1
255,3,0.01,0.08,0,0,1,1,0,0,1
83,255,1,0,0.01,0.04,0,0,0,0,0
185,119,0.5,0.38,0.5,0.02,0,0,0.37,0.01,0
255,253,0.99,0.01,0,0,0,0,0,0,0
255,6,0.02,0.02,0.02,0,0,0,0.83,0,0
255,4,0.02,0.07,0,0,1,1,0,0,1
255,2,0.01,0.74,1,0,0,0,1,1,1
196,6,0.03,0.03,0.01,0.33,0,0,0.01,0,0
94,255,1,0,0.01,0.02,0,0,0,0,0
99,68,0.32,0.06,0.32,0.03,0,0,0,0,0
69,255,1,0,0.01,0.04,0,0,0,0,0
255,12,0.05,0.08,0,0,1,1,0,0,1
18,19,1,0,0.06,0.11,0,0,0,0,0
255,212,0.83,0.02,0.83,0,0,0,0,0,1
255,15,0.06,0.07,0,0,0,0,1,1,1
255,19,0.07,0.05,0,0,1,1,0,0,1
255,3,0.01,0.05,0,0,1,1,0,0,1
118,195,1,0,0.01,0.02,0,0,0.74,0.84,0
255,1,0,0.91,0,0,0.11,0,0.89,1,1
255,6,0.02,0.06,1,0,0,0,0,0,1
255,11,0.04,0.07,0,0,1,1,0,0,1
247,247,1,0,1,0,0,0,0,0,0
89,117,0.31,0.03,0.01,0.02,0,0,0,0,0
201,5,0.02,0.04,0.02,0,0,0,0,0,0
163,69,0.36,0.02,0.01,0.03,0,0,0,0,0
255,34,0.13,0.02,0.13,0,0,0,0.67,0,1
255,42,0.16,0.03,0,0,1,1,0,0,1
255,18,0.07,0.07,0,0,1,1,0,0,1
255,15,0.06,0.07,0,0,1,1,0,0,1
255,100,0.39,0.17,0,0,0,0,0,0,0
172,255,1,0,0.01,0.02,0,0,0,0,0
255,142,0.56,0.02,0,0,0,0,0,0,1
32,255,1,0,0.03,0.01,0,0,0,0,0
255,9,0.04,0.05,0,0,1,1,0,0,1
255,17,0.07,0.06,0,0,1,1,0,0,1
44,255,1,0,0.02,0.03,0,0,0,0,0
11,28,1,0,0.09,0.25,0,0,0,0,0
205,50,0.19,0.02,0.19,0.04,0,0,0,0,0
41,52,1,0,0.02,0.04,0,0,0,0,0
255,1,0,0.52,1,0,0,0,1,1,1
255,255,1,0,0,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,14,0.05,0.06,0,0,1,1,0,0,1
202,255,1,0,0,0.02,0,0,0,0,0
255,20,0.08,0.02,0,0,0,0,0,0,0
214,166,0.63,0.02,0,0.01,0,0,0,0,0
28,104,0.71,0.11,0.04,0.02,0,0,0,0,0
255,18,0.07,0.07,0,0,1,1,0,0,1
16,255,1,0,0.06,0.06,0,0,0,0,0
255,240,0.94,0.01,0,0,0,0,0.01,0,0
255,19,0.07,0.05,0,0,1,1,0,0,1
255,1,0,0.8,0,0,0.03,0,0.61,1,1
2,38,1,0,1,0.5,0,0,0,0,1
255,17,0.07,0.07,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,22,0.09,0.05,0,0,1,1,0,0,1
255,16,0.06,0.06,0,0,1,1,0,0,1
128,255,1,0,0.01,0.01,0,0,0.01,0,0
37,255,1,0,0.03,0.02,0,0,0,0,0
34,255,1,0,0.03,0.04,0,0,0,0,0
193,185,0.68,0.02,0.01,0.01,0,0,0,0,0
39,255,1,0,0.03,0.04,0.03,0,0,0,0
255,3,0.01,0.07,0,0,1,1,0,0,1
3,28,1,0,1,0.18,0,0,0,0,1
255,20,0.08,0.07,0,0,1,1,0,0,1
1,25,1,0,1,0.56,0,0,0,0,1
29,255,1,0,0.03,0.04,0.03,0,0,0,0
101,255,1,0,0.01,0.03,0,0,0,0,0
255,24,0.09,0.05,0,0,1,1,0,0,1
255,44,0.17,0.02,0.17,0,0,0,0.72,0,0
2,2,1,0,0.5,0,0,0,0,0,0
255,157,0.62,0.02,0,0,0,0,0,0,0
38,255,1,0,0.03,0.01,0,0,0,0,0
255,16,0.06,0.01,0.06,0,0,0,0,0,0
255,71,0.28,0.01,0.28,0,0,0,0,0,1
255,232,0.91,0.01,0,0,0,0,0,0,0
255,3,0.01,0.07,0,0,0,0,1,1,1
255,7,0.03,0.07,0,0,1,1,0,0,1
255,2,0.01,0.06,0,0,1,1,0,0,1
235,12,0.05,0.03,0,0,0,0,0,0,0
75,255,1,0,0.01,0.03,0,0,0,0,0
73,255,1,0,0.01,0.02,0.01,0,0,0,0
1,123,1,0,1,1,0,0,0,0,1
255,3,0.01,0.07,0,0,1,1,0,0,1
255,52,0.2,0.03,0,0,1,1,0,0,1
255,8,0.03,0.06,0,0,1,1,0,0,1
212,187,0.88,0.02,0,0,0,0.01,0,0.01,0
255,9,0.04,0.1,0,0,1,1,0,0,1
2,60,1,0,1,0.5,0,0,0,0,1
255,19,0.07,0.05,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
1,63,1,0,1,0.51,0,0,0,0,1
117,1,0.01,0.04,0.01,0,0,0,0,0,0
64,255,1,0,0.02,0.05,0,0,0,0,0
255,2,0.01,0.74,1,0,0,0,1,1,1
255,1,0,1,1,0,1,1,0,0,1
255,46,0.18,0.02,0.18,0,0,0,0,0,1
230,255,1,0,0.01,0.01,0,0,0,0,0
137,255,1,0,0.01,0.01,0,0,0,0,0
255,1,0,0.38,0.36,0,0,0,0.37,1,1
13,255,1,0,0.08,0.05,0,0,0,0,0
255,22,0.09,0.05,0,0,1,1,0,0,1
27,129,0.74,0.11,0.04,0.02,0,0,0,0,0
230,255,1,0,0,0.01,0,0,0.01,0.01,0
255,11,0.04,0.07,0,0,0,0,1,1,1
5,255,1,0,0.2,0.02,0,0,0,0,0
127,255,1,0,0.01,0.03,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
106,156,0.41,0.04,0.01,0.01,0,0.01,0,0,0
1,111,1,0,1,0.51,0,0,0,0,1
255,4,0.02,0.07,0,0,1,1,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
255,14,0.05,0.07,0,0,0,0,1,1,1
7,255,1,0,0.14,0.24,0,0,1,0.91,0
255,255,1,0,0,0,0,0,0,0,0
1,255,1,0,1,0.07,0,0,0,0,0
45,255,1,0,0.02,0.02,0,0,0,0,0
255,10,0.04,0.05,0,0,1,1,0,0,1
255,10,0.04,0.07,0,0,1,1,0,0,1
251,113,0.45,0.01,0,0,0.8,0.88,0,0,0
255,255,1,0,0.01,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
94,26,0.28,0.04,0.01,0,1,1,0,0,1
11,88,0.36,0.27,0.36,0.02,0,0.01,0,0,0
77,255,1,0,0.01,0.03,0,0.01,0,0,0
255,25,0.1,0.05,0,0,1,1,0,0,1
255,245,0.96,0.01,0.01,0,0,0,0,0,0
255,7,0.03,0.07,0,0,1,1,0,0,1
255,9,0.04,0.07,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,2,0.01,0.5,1,0,0,0,1,1,1
212,43,0.2,0.02,0,0,0,0,0.06,0.12,0
255,30,0.12,0.06,0,0,1,1,0,0,1
255,18,0.07,0.07,0,0,1,1,0,0,1
18,255,1,0,0.06,0.03,0,0,0,0,0
2,255,1,0,0.5,0.05,0,0,0,0,0
211,255,1,0,0,0.01,0,0,0,0,0
32,255,1,0,0.03,0.04,0,0,0,0,0
4,112,1,0,1,0.25,0,0,0,0,1
255,1,0,0.67,0.95,0,0,0,0,0,0
255,5,0.02,0.06,0,0,1,1,0,0,1
53,38,0.25,0.09,0.25,0.05,0,0,0,0,0
255,2,0.01,0.08,0,0,0,0,1,1,1
255,52,0.2,0.04,0,0,1,1,0,0,1
7,42,1,0,1,0.14,0,0.02,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
1,61,1,0,1,0.51,0,0,0,0,1
160,101,0.4,0.05,0.01,0.02,0.01,0.02,0,0,0
54,255,1,0,0.02,0.04,0,0,0,0,0
255,1,0,0.16,0.15,0,0,0,0.15,1,1
255,81,0.32,0.02,0.31,0,0,0,0,0,0
255,13,0.05,0.07,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,9,0.04,0.06,0,0,0,0,1,1,1
255,19,0.07,0.07,0,0,1,1,0,0,1
107,255,1,0,0.01,0.01,0,0,0,0,0
255,255,1,0,1,0,0,0,0,0,1
1,11,1,0,1,0.55,0,0,0,0,1
255,1,0,0.47,0,0,0.02,0,0.13,1,1
255,239,0.94,0.01,0.01,0,0,0,0,0,0
255,17,0.07,0.06,0,0,1,1,0,0,1
202,154,0.58,0.02,0,0.01,0,0,0,0,0
255,7,0.03,0.05,0,0,1,1,0,0,1
255,14,0.05,0.07,0,0,1,1,0,0,1
255,5,0.02,0.07,0,0,1,1,0,0,1
255,11,0.04,0.6,0,0,0,0.09,0,0,0
255,3,0.01,0.07,0,0,1,1,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,36,0.14,0.03,0.14,0,0,0,0,0,0
255,1,0,0.6,0.56,0,0.01,0,0.57,1,1
255,1,0,0.64,0.64,0,0,0,0.64,1,1
255,234,0.92,0.01,0.01,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,7,0.03,0.07,0,0,1,1,0,0,1
142,255,1,0,0.01,0.03,0,0,0,0,0
128,164,0.75,0.03,0.01,0.02,0,0,0,0,0
69,255,1,0,0.01,0.02,0,0,0,0,0
255,8,0.03,0.07,0,0,1,1,0,0,1
255,6,0.02,0.09,0,0,0,0,1,1,1
66,255,1,0,0.02,0.02,0,0,0,0,0
255,2,0.01,0.07,0,0,1,1,0,0,1
42,23,0.55,0.05,0.55,0,0,0,0,0,0
14,255,1,0,0.07,0.03,0,0,0,0,0
255,12,0.05,0.08,0,0,1,1,0,0,1
255,16,0.06,0.01,0.06,0,0,0,0,0,0
255,5,0.02,0.07,0,0,1,1,0,0,1
8,38,1,0,0.12,0.18,0,0,1,1,0
255,19,0.07,0.07,0,0,1,1,0,0,1
37,2,0.03,1,0.03,1,0,0,0.86,1,1
255,1,0,0.53,0.51,0,0,0,0.51,1,1
57,255,1,0,0.02,0.04,0,0,0,0,0
255,3,0.01,0.05,0,0,1,1,0,0,1
159,255,1,0,0.01,0.03,0,0,0,0,0
255,1,0,1,0,0,0.08,0,0.92,1,1
255,255,1,0,0,0,0,0,0,0,0
255,13,0.05,0.08,0,0,1,1,0,0,1
58,255,1,0,0.02,0.02,0,0,0,0,0
255,3,0.01,0.07,0,0,0,0,1,1,1
6,2,0.33,0.5,0.33,0,0,0,0,0,0
246,64,0.24,0.29,0,0.03,0,0,0.26,0,0
62,255,1,0,0.02,0.02,0,0.01,0,0,0
255,18,0.07,0.07,0,0,1,1,0,0,1
12,255,1,0,0.08,0.15,0,0,1,0.79,0
106,255,1,0,0.01,0.03,0,0,0,0,0
2,255,1,0,1,0.5,0,0,0,0,1
251,251,1,0,0,0,0,0,0.02,0.02,1
59,255,1,0,0.02,0.02,0,0,0,0,0
124,62,0.24,0.03,0.01,0.03,0.98,0.48,0,0,1
255,10,0.04,0.07,0,0,1,1,0,0,1
250,255,1,0,0,0.01,0,0,0,0,0
28,255,1,0,0.04,0.01,0,0,0,0,0
49,255,1,0,0.02,0.07,0,0,0,0,0
255,12,0.05,0.08,0,0,1,1,0,0,1
187,255,1,0,0.01,0.01,0,0,0,0,0
255,6,0.02,0.07,0,0,1,1,0,0,1
247,247,1,0,1,0,0,0,0,0,0
1,255,1,0,1,0.04,0,0,0,0,0
67,171,1,0,1,0.01,0,0,0,0,0
255,3,0.01,0.08,0,0,1,1,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
255,8,0.03,0.07,0,0,1,1,0,0,1
6,55,1,0,0.17,0.24,0,0,1,1,0
255,12,0.05,0.1,0,0,1,1,0,0,1
255,4,0.02,0.06,0,0,1,1,0,0,1
12,255,1,0,0.08,0.05,0,0,0,0,0
255,8,0.03,0.05,0,0,1,1,0,0,1
255,166,0.65,0.01,0,0,0,0,0,0,0
255,255,1,0,0,0,0.01,0.01,0.02,0.02,0
126,104,0.44,0.05,0.01,0.02,0.01,0.01,0.01,0,0
36,255,1,0,0.03,0.05,0,0,0,0,0
255,1,0,0.53,0.88,0,0,0,0,0,0
255,1,0,0.06,0,0,1,1,0,0,1
120,8,0.07,0.08,0.01,0,0.98,1,0,0,1
255,1,0,0.08,0,0,1,1,0,0,1
255,16,0.06,0.05,0,0,1,1,0,0,1
255,2,0.01,0.82,1,0,0,0,1,1,1
255,11,0.04,0.07,0,0,1,1,0,0,1
4,200,1,0,1,0.25,0,0,0,0,1
25,25,1,0,0.04,0,0.08,0.08,0.04,0.04,0
255,255,1,0,0,0,0,0,0,0,0
255,19,0.07,0.07,0,0,1,1,0,0,1
76,24,0.17,0.08,0.17,0.08,0,0,0,0,0
255,242,0.95,0.01,0,0,0,0,0,0,0
1,41,1,0,1,0.51,0,0,0,0,1
51,7,0.14,0.08,0.02,0,0,0,0,0,0
23,255,1,0,0.04,0.02,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,2,0.01,0.09,0,0,1,1,0,0,1
135,75,0.56,0.01,0.01,0,0.99,0.97,0,0,1
123,255,1,0,0.01,0.02,0,0,0.44,0.29,0
255,4,0.02,0.06,0,0,0,0,1,1,1
255,255,1,0,0,0,0,0,0,0,0
25,255,1,0,0.04,0.04,0,0.01,0,0,0
255,14,0.05,0.07,0,0,1,1,0,0,1
255,226,0.89,0.01,0.01,0,0,0,0,0,0
12,255,1,0,0.08,0.04,0,0,0.08,0.02,0
255,11,0.04,0.08,0,0,1,1,0,0,1
255,9,0.04,0.06,0,0,1,1,0,0,1
255,9,0.04,0.08,0,0,1,1,0,0,1
14,255,1,0,0.07,0.05,0,0,0,0,0
255,3,0.01,0.08,0,0,0,0,1,1,1
255,5,0.02,0.07,0,0,1,1,0,0,1
255,24,0.09,0.2,0.6,0,0,0,0.34,0,1
255,21,0.08,0.02,0.08,0,0,0,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,255,1,0,1,0,0,0,0,0,1
255,115,0.45,0.01,0.45,0,0,0,0,0,0
84,1,0.01,0.07,0.01,0,0,0,0,0,0
27,2,0.04,1,0.04,1,0,0,0.89,1,1
255,142,0.56,0.03,0,0,0,0,0,0,0
153,153,1,0,1,0,0,0,0,0,1
255,64,0.25,0.02,0.02,0,1,1,0,0,1
121,255,1,0,0.01,0.04,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
12,255,1,0,0.08,0.03,0,0,0,0,0
52,255,1,0,0.02,0.03,0,0,0,0,0
219,39,0.13,0.02,0.13,0.05,0,0,0,0,0
170,255,1,0,0.01,0.01,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,10,0.04,0.06,0,0,0,0,1,1,1
24,255,1,0,0.04,0.04,0,0,0,0.01,0
255,6,0.02,0.07,0,0,1,1,0,0,1
255,1,0,0.08,0,0,1,1,0,0,1
173,132,0.57,0.02,0.01,0.02,0,0,0,0,0
9,255,1,0,0.11,0.04,0,0,0,0,0
255,200,0.78,0.01,0.78,0,0,0,0,0,1
255,68,0.27,0.02,0.27,0,0,0,0,0,1
255,7,0.03,0.06,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,250,0.98,0.01,0,0,0,0,0,0,0
229,217,0.95,0.01,0,0,0,0,0,0,0
255,18,0.07,0.04,0,0,1,1,0,0,1
255,16,0.06,0.08,0,0,1,1,0,0,1
255,15,0.06,0.09,0,0,1,1,0,0,1
255,239,0.94,0.01,0,0,0,0,0,0,0
255,13,0.05,0.07,0,0,0,0,1,1,1
95,255,1,0,0.01,0.02,0,0,0,0,0
255,8,0.03,0.07,0,0,1,1,0,0,1
255,13,0.05,0.09,0,0,1,1,0,0,1
255,3,0.01,0.53,0.82,0,0,0,0,0,0
7,255,1,0,0.14,0.21,0,0.01,0.43,0.96,0
255,58,0.23,0.02,0.01,0,1,1,0,0,1
68,255,1,0,0.01,0.02,0,0,0,0,0
251,255,1,0,0,0.01,0,0,0,0,0
255,15,0.06,0.06,0,0,1,1,0,0,1
79,79,1,0,0.01,0,0.01,0.01,0.01,0.01,1
255,2,0.01,0.08,0,0,1,1,0,0,1
255,254,1,0.01,0,0,0,0,0,0,0
76,169,0.89,0.04,0.01,0.01,0,0,0,0,0
255,4,0.02,0.08,0,0,1,1,0,0,1
255,37,0.15,0.01,0.16,0,0,0,0,0,0
255,1,0,0.07,0,0,0,0,1,1,1
9,255,1,0,0.11,0.05,0,0,0,0,0
255,21,0.08,0.05,0,0,1,1,0,0,1
50,70,0.76,0.12,0.02,0.03,0.02,0,0,0,0
31,34,1,0,0.03,0.06,0,0.06,0,0.03,0
255,6,0.02,0.06,0,0,1,1,0,0,1
1,35,1,0,1,0.51,0,0,0,0,1
5,255,1,0,0.2,0.09,0,0,0,0,0
255,1,0,0.07,0,0,0,0,1,1,1
255,18,0.07,0.07,0,0,1,1,0,0,1
255,4,0.02,0.07,0,0,1,1,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
195,2,0.01,0.08,0.13,0,0.01,0,0.38,1,1
55,255,1,0,0.02,0.05,0.02,0,0,0,0
21,255,1,0,0.05,0.06,0,0.01,0,0,0
255,4,0.02,0.99,0,0,0.08,0,0.91,1,1
255,1,0,0.08,0,0,1,1,0,0,1
255,224,0.88,0.01,0.04,0,0,0,0,0,0
255,8,0.03,0.06,0,0,1,1,0,0,1
255,253,0.99,0.01,0,0,0,0,0,0,0
155,143,0.92,0.02,0.01,0,0,0,0,0,0
255,3,0.01,0.01,0.09,0,0,0,0,0,0
72,72,1,0,0.01,0,0,0,0,0,0
255,20,0.08,0.05,0,0,1,1,0,0,1
19,192,1,0,0.05,0.19,0,0,1,0.99,0
75,65,0.63,0.04,0.63,0.05,0.01,0.02,0,0,0
94,255,1,0,0.01,0.03,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
5,255,1,0,0.2,0.04,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,20,0.08,0.07,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,205,0.8,0.02,0,0,0,0,0,0,0
255,1,0,0.54,0.9,0,0,0,0,0,0
255,123,0.48,0.02,0,0,0,0,0.01,0,1
1,59,1,0,1,0.51,0,0,0,0,1
255,254,1,0.01,0,0,0,0,0,0,0
255,1,0,1,1,0,0,0,0.99,1,1
3,135,0.67,0.67,0.33,0.01,0,0,0,0,0
2,14,1,0,0.5,0.14,0,0,0,0,0
36,255,1,0,0.03,0.03,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,255,1,0,0.01,0,0,0,0,0,0
255,28,0.11,0.01,0.55,0,0,0,0,0,0
255,14,0.05,0.08,0,0,1,1,0,0,1
255,17,0.07,0.05,0,0,1,1,0,0,1
143,255,1,0,0.01,0.01,0,0,0,0,0
43,255,1,0,0.02,0.02,0,0,0,0,0
255,17,0.07,0.08,0,0,1,1,0,0,1
